id,name,details,gender,category
Men:BAGS_BACKPACKS:0,MULTI-POCKET BACKPACK,"Multi-pocket backpack made of technical fabric. Featuring three main compartments in the same size, all with zip closure and a common clip buckle. The inside features a pocket for electronic devices of up to 13 and a zip pocket. Features two small front zip pockets. Top handle and two adjustable shoulder straps. Quilted back for improved comfort during use.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:2,EXPLORER BACKPACK,"Multi-pocket explorer backpack. Technical fabric. The main compartment fastens with a flap, gathering and a clip buckle. The flap has a small zip pocket. The inside has a pocket without closure for electronic devices of up to 13 . Medium side pockets with no fastening. Small front flap pocket with zip closure. Top handle and two adjustable shoulder straps.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:3,MONOCHROME NYLON BACKPACK,Explorer backpack. The main compartment has a gathered drawstring closure and a flap with two clip buckles. The inside has a pocket without closure for electronic devices of up to 13 . Features a small zip pocket on the front. Top handle and two adjustable shoulder straps.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:4,SLIM RUBBERISED BACKPACK,"Backpack with a rubberised finish. Plain exterior. The main compartment closes with a zip and its interior has two pockets, one of which is large for electronic devices of up to 13 and another medium pocket with zip closure. On the front there is a medium pocket with zip closure. The back is padded and has fastening to attach it to luggage. It has one handle and two adjustable padded shoulder straps.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:5,SPORTS BACKPACK,Multi-pocket backpack. Combination of materials and colours on the exterior. The main compartment fastens with a zip and features an inside pocket without closure for electronic devices of up to 13 . On the front it has a flat pocket with zip closure. Adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps with zip pockets. Ergonomic padded back for improved comfort during use. Adjustable chest strap with clip buckle fastening.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:7,SPORTS BACKPACK,Multi-pocket backpack. Combination of materials and colours on the upper. The main compartment has two zip fastenings at different heights (the top access to the pocket is adjustable on each side thanks to two technical fasteners). Two adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap to the chest with clip buckle fastening.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:8,ROLLTOP SPORTS BACKPACK,"Multi-pocket backpack. Combination of materials on the exterior. The main compartment fastens with a zip and rolls up with clip buckles on both sides. It also opens from the front with a zip closure. Two small front pockets with thermo-sealed zip fastening. Featuring two adjustable mesh pockets on the sides. Top handle and two adjustable, breathable shoulder straps. Each compartment has a thermo-sealed zip closure. Ergonomic padded back for improved comfort during use. Adjustable chest with clip buckle fastening.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:9,TECHNICAL BACKPACK,"Multi-pocket backpack. The main compartment has zip closure and its interior has three small pockets with zip closure. Featuring two large front pockets, one with zip and the other with adjustable fastening. Side pockets with adjustable fastening. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap on the chest with clip buckle fastening.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:10,NYLON TOILETRY BAG,Toiletry bag. Combination of materials on the upper. Main compartment with zip closure. Six small pockets on the inside without fastening. Side pockets with technical clasp fastening. Two handles on each side in different sizes.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:11,NYLON BELT BAG,Soft belt bag. Technical fabric upper. Main compartment with zip closure. Front pocket with technical clasp. Adjustable handle with clip buckle.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:12,ATHLETICZ SPORTS BELT BAG,Sports belt bag with a combination of materials on the exterior. The pocket has zip closure. The front has a reflective detail. The back part is made of elastic mesh that allows you to touch the screen without removing the device. The strap is elastic and adjustable with a technical clip buckle.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:13,XL RUBBERISED CROSSBODY WALLET,XL wallet with a rubberised finish. Plain exterior. Main compartment with zip closure. The inside features four compartments. Zip pocket. Several slots for cards and banknotes. Small pocket on the front with zip closure. Adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:17,MINI TIE-DYE TOTE BAG,Mini tote bag. Rigid exterior. One pocket with magnetic closure. Two handles and an adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:18,RUBBERISED CROSSBODY BAG,"Crossbody bag. Semi-rigid exterior. Rubberised finish with embossing. The main compartment fastens with a flap and double magnetic closure. The interior features two main compartments, one without closure with a small zip pocket and the other with zip closure. Matching adjustable shoulder strap.Length x Height x Width: 19 x 12 x 7 . / 7.4 x 4.7 x 2.7″",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:20,MULTIFUNCTIONAL BRIEFCASE,Monochrome briefcase with a rubberised finish. The main compartment with zip closure is suitable for electronic devices and laptops of up to 13 . Its interior features several pockets in different sizes and one large pocket with zip closure. On the front it has a small flat pocket with push-back fastening. Two zip pockets at the back. Handle and two adjustable padded shoulder straps so it can be used as a backpack.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:24,RUBBERISED MINI BOWLING BAG,Bowling bag. Rubberised finish. The main compartment fastens with a zip and its interior has a small zip pocket. Small zip pocket at the front. Features two handles and one adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:25,RUBBERISED BOWLING BAG,Bowling bag. Plain upper. The main compartment has zip closure and its interior has two pockets without closure and one zip pocket. Medium pocket with push-back fastening at the front and no fastening on one side. Featuring two handles and an adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:26,RUBBERISED BOWLING BAG,Bowling bag made of technical rubberised fabric. Main compartment with zip closure and the inside has two pockets without closure and a zip pocket. Snap-button pocket on the front. Pocket on one side and a strap on the other. Two handles and an adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:27,RUBBERISED MINI CROSSBODY BAG WITH FLAP,Crossbody bag with a rubberised finish. Main compartment with zip closure. Small inner pocket with zip closure. Front pocket with magnetic clasp closure and a flap. Back pocket with snap-button fastening. Adjustable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:30,XL CROSSBODY WALLET,XL crossbody wallet. Plain upper. Main compartment with zip closure. Featuring six inner compartments. Two zip pockets. Several card slots and notes. Front pocket with hidden magnetic clasp closure. Back pocket with snap button fastening. Adjustable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:32,CONTRAST LEATHER TOTE BAG,Tote bag. Soft construction. Combination of leather and fabric on the upper. Main pocket with zip closure. Its interior features a small pocket without closure. Two handles and a longer shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:35,CANVAS TOTE BAG,Tote bag. Soft design. Main pocket with no closure. Its interior has a small pocket with zip closure. Its front has a pocket with a push-back closure. Two handles and a longer shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:36,BACKPACK WITH GATHERED DETAIL,Bag-style backpack. Soft construction. Main compartment with gathered drawstring closure and inside zip pocket. Front medium-sized compartment with zip closure. Two handles and two adjustable rope shoulder straps.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:38,L HAND HELD TOTE BAG,Semi-rigid tote bag. Main pocket with a magnetic closure. Its interior has a pocket with no closure. Features two rigid handles.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:39,MINI MINIMALIST TOTE BAG,Mini tote bag. Semi-rigid exterior. Main pocket with magnetic closure. Two handles and an adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:40,M HAND HELD TOTE BAG,Semi-rigid tote bag. Main pocket with a magnetic closure. Its interior has a pocket with no closure. Features two rigid handles.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:41,DETACHABLE CROSSBODY BAG,Crossbody accessory. Soft design. Three detachable and interchangeable compartments with a hidden magnetic closure: the largest with three card slots on the inside. Belt-style buckle fastening.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:43,MINI CROSSBODY BAG WITH FLAP,Crossbody bag. Soft construction. The main compartment has zip closure and the inside has a small pocket without closure. Front pocket with magnetic closure and flap. Adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:44,SLIM EMBOSSED CLUTCH,Clutch bag. Main compartment with zip closure. Small inside pocket with zip closure. Medium-sized front pocket with magnetic clasp and flap. Matching handle.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:45,RIGID MINAUDIÈRE MINI CROSSBODY BAG,Rectangular rigid crossbody bag. Plain exterior. The main compartment has metallic closure and its interior has a flat pocket. Adjustable and detachable shoulder strap and handle.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:46,BACKPACK WITH FOLDOVER FLAP,Monochrome backpack. Embossed exterior. The main compartment has zip closure and its interior has a large pocket without closure. Medium pocket on the front with hidden magnetic clasp closure. The back and base are padded. Top handle and two adjustable padded shoulder straps.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:49,RUBBERISED EXPLORER BACKPACK,"Multi-pocket explorer backpack. Rubberised finish. The main compartment fastens with a foldover flap, gathered detail and clip buckle. The inside has a zip pocket. Featuring two front zip pockets. Top handle and two adjustable padded shoulder straps.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:51,TOILETRY BAG WITH TOPSTITCHING,Toiletry bag. Soft construction. The main compartment has zip closure with a small flap. The inside has a small pocket without closure. Front pocket with zip closure with a small flap. Features a handle on the side.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:53,CONTRAST RUBBERISED TOILETRY BAG,Toiletry bag. Rubberised finish. The main compartment has a zip closure. The inside has a small flat pocket with no closure. The front and back has a pocket with zip closure. Features a handle on one side.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:55,RUBBERISED TOILETRY BAG,Toiletry bag. Rubberised finish. The main compartment has zip closure. The inside has a zip pocket. Front pocket with zip closure and a small flap. Features a handle on the side.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:57,LEATHER TOILETRY BAG,Leather toiletry bag. The main compartment fastens with a zip. The inside has a pocket. Handle on one side.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:58,EMBOSSED BOWLING BAG,"Bowling bag with a soft design. Technical fabric. Main compartment with zip closure and the inside has two pockets, one with no closure and the other with zip closure. Small pocket on the front with hook-and-loop fastening. Two handles and an adjustable and detachable shoulder strap.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:61,LIGHTWEIGHT TECHNICAL BOWLING BAG,"Bowling bag with a soft design. Technical fabric. Main compartment with zip closure and a flap with a hidden magnetic clasp and the inside has a pocket without closure. On the front, there is a pocket with a hidden magnet closure. Two handles and an adjustable and detachable shoulder strap.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:62,CANVAS EXPLORER BACKPACK,Backpack. Canvas exterior. The main compartment has a gathered drawstring closure and a flap with two snap buttons. The inside has a pocket without closure for electronic devices of up to 13 . Medium side pockets with flaps and snap-button fastening. Features a small pocket on the front that fastens with a hook-and-loop strap. Top handle and two adjustable shoulder straps.,Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:63,CONTRAST CANVAS TOTE BAG,"Tote bag. Main compartment with snap-button fastening. Four inside pockets, one of which fastens with a zip. Featuring two front pockets with two snap buttons. Featuring two handles and a detachable and adjustable shoulder strap.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:64,MONOCHROME FORMAL BOWLING BAG,"Bowling bag. Soft design. The main compartment closes with a zip and its interior has four pockets, three of them without closure. Has two handles and one adjustable and detachable shoulder strap.",Men,BAGS_BACKPACKS
Men:BAGS_BACKPACKS:67,EMBOSSED BOWLING BAG,Bowling bag. Soft design. Embossing on the exterior. The main compartment closes with a zip and its interior has a pocket with a zip closure. Includes two handles and one adjustable and detachable shoulder strap.,Men,BAGS_BACKPACKS
