id,name,details,gender,category
Women:BASICS:0,POPLIN SHIRT,Collared V-neck shirt with long sleeves and a button-up front.,Women,BASICS
Women:BASICS:4,POPLIN SHIRT,"Shirt with a johnny collar, long sleeves and a button-up front.",Women,BASICS
Women:BASICS:5,COTTON BLEND OXFORD SHIRT,Shirt made of a cotton blend. Johnny collar and long sleeves. Asymmetric hem. Button-up front.,Women,BASICS
Women:BASICS:8,OXFORD SHIRT,Shirt made of a cotton blend. Johnny collar and long sleeves. Button-up front.,Women,BASICS
Women:BASICS:12,STRIPED OVERSIZE SHIRT,Loose-fitting shirt featuring a Johnny collar and long sleeves with cuffs. Chest patch pocket. Pleated detail on the back. Button-up front.,Women,BASICS
Women:BASICS:15,ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS,Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with belt loops. Patch pockets on the front and back. Contrast visible topstitching detail. Seamless hems. Front zip fly and button fastening.,Women,BASICS
Women:BASICS:16,ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS,Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with back patch pockets. Seamless hems. Front zip fly and top button fastening.,Women,BASICS
Women:BASICS:20,100% WOOL KNIT POLO SWEATER,"Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening.",Women,BASICS
Women:BASICS:23,CASHMERE KNIT SWEATER,Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.,Women,BASICS
Women:BASICS:26,CROPPED KNIT SWEATER,Short sweater with a round neckline and long sleeves.,Women,BASICS
Women:BASICS:30,BASIC HIGH NECK KNIT SWEATER,"Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims.",Women,BASICS
Women:BASICS:35,HIGH-WAIST CULOTTE TROUSERS,"High-waist trousers featuring front pockets and rear welt pockets. Short and wide leg design. Front zip fly, interior button and metal hook fastening.",Women,BASICS
Women:BASICS:40,SHORT TAILORED WAISTCOAT,V-neck waistcoat. Featuring false welt pockets and button fastening on the front.,Women,BASICS
Women:BASICS:45,DOUBLE-BREASTED OVERSIZED BLAZER,"Loose-fitting blazer featuring a lapel collar, long sleeves with pronounced shoulders, front flap pockets and front double-breasted button fastening.",Women,BASICS
Women:BASICS:50,CROPPED TROUSERS,High-waist cropped trousers with an elasticated waistband and drawstring. Side darts and front pockets.,Women,BASICS
Women:BASICS:55,CARROT FIT TROUSERS WITH DARTS DETAIL,Mid-waist trousers made of a viscose blend. Belt loops. Side pockets and rear welt pockets. Dart details on the front. Pleated hem with contrast button. Front zip fly and button fastening.,Women,BASICS
Women:BASICS:59,OVERSIZED SHIRT,Loose-fitting collared shirt featuring long sleeves with cuffs. Chest patch pocket. Pleated detail at the back. Button-up fastening on the front.,Women,BASICS
Women:BASICS:62,TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS,HIGH-RISE - MOM FITHigh-rise Bermuda shorts with a five-pocket design. Front zip fly and metal top button fastening. Turn-up hems.,Women,BASICS
Women:BASICS:67,FULL LENGTH TROUSERS,"Pleated high-waist trousers with side pockets. Front zip fly, inside button and metal hook fastening.",Women,BASICS
Women:BASICS:73,FAUX LEATHER JACKET,"Jacket with a lapel collar and long sleeves. Featuring front pockets with metal zip, shoulder tabs, belt in the same fabric with buckle and metal zip-up fastening on the front.",Women,BASICS
Women:BASICS:75,FAUX LEATHER JACKET,"Collared jacket featuring long sleeves with tabs on the shoulders. Featuring front pockets with metal zips, a belt in the same material with a metal buckle and zip fastening at the front.",Women,BASICS
Women:BASICS:76,HIGH-RISE STOVE PIPE TRF JEANS,HIGH-WAIST - SLIM - ANKLE LENGTHHigh-waist jeans with a five-pocket design. Front zip fly and metal top button fastening.,Women,BASICS
Women:BASICS:82,TRF WIDE-LEG MID-RISE FULL LENGTH JEANS,MID-RISE - WIDE-LEG - FULL LENGTHMid-rise rigid jeans with a five-pocket design. Long wide leg. Zip fly and metal top button fastening.,Women,BASICS
Women:BASICS:88,HIGH-WAIST TROUSERS,"High-waist trousers with seam detail on the front and back. Front welt pockets. Front zip fly, inside button and metal hook fastening.",Women,BASICS
