id,name,details,gender,category
Women:JACKETS:0,PADDED JACKET WITH POCKETS,"Padded jacket with a high neck and long sleeves, Front patch pockets. Adjustable hem with matching drawstrings. Front zip fastening.",Women,JACKETS
Women:JACKETS:1,WOOL BOMBER JACKET WITH ZIP,Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.,Women,JACKETS
Women:JACKETS:2,SATIN KIMONO,"Kimono made of satin fabric. Featuring a crossover V-neckline, long sleeves with vents and crossover fastening with tied detail in the same fabric",Women,JACKETS
Women:JACKETS:3,TRANSPARENT CROPPED JACKET,"Transparent collared water-repellent jacket. Featuring long sleeves with tabs on the shoulders. Front pockets with zips, a belt in the same material with a rubberised buckle and crossover zip fastening at the front.",Women,JACKETS
Women:JACKETS:4,SATIN FOIL BOMBER JACKET,Bomber jacket made of metallic satin fabric. Round neck and long sleeves with elastic cuffs. Front welt pockets. Elastic hem. Contrast lining. Front fastening with metal zip.,Women,JACKETS
Women:JACKETS:5,WORN EFFECT LEATHER EFFECT BIKER JACKET,Distressed effect jacket with a lapel collar and long sleeves. Zip details on the front and shoulder tabs. Wrap front with zip fastening.,Women,JACKETS
Women:JACKETS:6,OVERSIZE TRENCH COAT WITH POCKETS,Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.,Women,JACKETS
Women:JACKETS:7,FAUX SUEDE TRENCH COAT,Trench coat made of faux suede fabric. Lapel collar and long sleeves with tabs on the cuffs and shoulders. Side pockets. Belt in the same fabric with a contrast buckle. Double-breasted button fastening at the front.,Women,JACKETS
Women:JACKETS:8,SOFT SHORT JACKET,Long sleeve collared jacket. Front patch pockets with flaps and snap-button fastening at the front.,Women,JACKETS
Women:JACKETS:10,RUSTIC BOMBER JACKET,"Bomber jacket made of a cotton blend. Featuring a round neckline, long sleeves and cutwork fabric. Matching ribbed trims and metal zip fastening at the front.",Women,JACKETS
Women:JACKETS:11,LINEN BLEND PLEATED BOMBER JACKET,Short collared bomber jacket made of a linen blend. Long sleeves. Front welt pockets. Elastic hem with pleats. Matching lining. Zip-up front hidden by a placket.,Women,JACKETS
Women:JACKETS:12,WORN EFFECT LEATHER EFFECT BOMBER JACKET,Worn effect bomber jacket with a round neckline and long cuffed sleeves. Front welt pockets. Front fastening with metal zip.,Women,JACKETS
Women:JACKETS:14,OVERSIZE QUILTED BOMBER JACKET,Loose-fitting bomber jacket with a round neck and long sleeves. Front flap pockets with snap buttons. Matching ribbed trims. Front zip and snap-button fastening.,Women,JACKETS
Women:JACKETS:16,DISTRESSED LEATHER EFFECT TRENCH COAT,Distressed effect trench coat with a lapel collar. Long sleeves with tabs on the cuffs and shoulders. Side pockets. Tied belt in the same fabric. Double-breasted button fastening at the front.,Women,JACKETS
