id,name,details,gender,category
Men:OVERSHIRTS:0,CORDUROY OVERSHIRT,Relaxed fit collared overshirt. Long sleeves with buttoned cuffs. Chest patch pockets. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:4,OVERSHIRT WITH POCKETS,Regular fit collared overshirt with long sleeves with buttoned cuffs. Patch pockets with flaps on the front. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:8,DIAGONAL TEXTURE OVERSHIRT,Collared regular fit overshirt made of diagonal textured fabric. Long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and hip welt pockets. Button-up front hidden by a placket.,Men,OVERSHIRTS
Men:OVERSHIRTS:9,OVERSHIRT WITH POCKETS,Relaxed fit overshirt made of cotton. Lapel collar and long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and a side hip pocket. Zip-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:13,COMFORT OVERSHIRT WITH POCKETS,Collared overshirt made of a stretchy fabric. Long sleeves with snap-button cuffs. Chest patch pockets. Front snap-button fastening.,Men,OVERSHIRTS
Men:OVERSHIRTS:17,OVERSHIRT WITH CONTRAST TOPSTITCHING,Collared relaxed fit overshirt made of textured cotton. Long sleeves with buttoned cuffs. Patch pockets on the chest. Contrast topstitching detail all over the garment. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:18,LINEN BLEND OVERSHIRT WITH TOPSTITCHING,Relaxed fit collared overshirt made of a cotton and linen blend fabric. Short sleeves. Front patch pockets. Contrast topstitching all over the garment. Snap-button fastenings on the front.,Men,OVERSHIRTS
Men:OVERSHIRTS:22,RELAXED FIT DENIM OVERSHIRT,Faded relaxed fit collared overshirt featuring long sleeves with buttoned cuffs. Patch pockets on the chest and hidden snap-button fastening at the front.,Men,OVERSHIRTS
Men:OVERSHIRTS:28,PAINT PRINT OVERSHIRT,Relaxed fit collared overshirt with long sleeves and snap-button cuffs. Chest patch pockets. Side vents at the hem. Front snap-button fastening.,Men,OVERSHIRTS
Men:OVERSHIRTS:30,TIE-DYE CHECK OVERSHIRT,Regular-fit overshirt made of cotton fabric. Featuring a lapel collar and long sleeves with buttoned cuffs. Patch pockets on the chest. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:36,TEXTURED RUSTIC OVERSHIRT,Collared cotton blend overshirt. Long sleeves with buttoned cuffs. Hip patch pockets. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:38,GEOMETRIC JACQUARD OVERSHIRT,Relaxed fit overshirt made of cotton fabric. Featuring a lapel collar and long sleeves with buttoned cuffs. Welt pockets at the hip. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:40,COMFORT OVERSHIRT WITH POCKETS,"Relaxed fit overshirt made of stretchy fabric. Featuring a spread collar, short sleeves, chest patch pockets and front snap-button fastening.",Men,OVERSHIRTS
Men:OVERSHIRTS:44,OVERSHIRT WITH CONTRAST TOPSTITCHING,Collared relaxed fit overshirt. Long sleeves with buttoned cuffs. Chest patch pockets. Contrast topstitching all over the garment. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:46,FAUX LEATHER OVERSHIRT,"Boxy fit collared overshirt made of faux leather. Featuring short sleeves, a chest patch pockets, contrast topstitching all over the garment and a button-up front.",Men,OVERSHIRTS
Men:OVERSHIRTS:48,CROCHET OVERSHIRT,Regular fit overshirt made of openwork fabric. Lapel collar and short sleeves. Chest patch pocket. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:49,CROPPED FAUX LEATHER SHIRT,Relaxed-fit faux leather shirt. Collar and short sleeves. Chest patch pocket. Cropped length. Fastens down the front with snap buttons.,Men,OVERSHIRTS
Men:OVERSHIRTS:51,FADED FAUX SUEDE OVERSHIRT,Boxy-fit faux suede overshirt. Collar and short sleeves. Chest patch pocket. Cropped length. Fastens down the front with snap buttons.,Men,OVERSHIRTS
Men:OVERSHIRTS:53,LIMITED EDITION TECHNICAL SHIRT,Cropped collared shirt made of technical satin fabric. Long sleeves with buttoned cuffs. Patch pockets with flaps on the chest. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:54,WAXED DENIM OVERSHIRT - LIMITED EDITION,Relaxed fit overshirt made of faded denim with a slightly waxed finish. Lapel collar and long sleeves and buttoned cuffs. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:55,OVERSIZE FIT SHIRT - LIMITED EDITION,Oversize fit shirt made of cotton. Spread collar and long sleeves with buttoned cuffs. Pleat details on the back. Button-up front hidden by a placket.,Men,OVERSHIRTS
Men:OVERSHIRTS:56,BOXY FIT SHIRT - LIMITED EDITION,Boxy fit shirt made of cotton. Spread collar and short sleeves. Side vents at the hem. Button-up front hidden by a placket.,Men,OVERSHIRTS
Men:OVERSHIRTS:58,RIPSTOP OVERSHIRT - LIMITED EDITION,Regular fit overshirt made of textured ripstop fabric that is resistant to tearing. Lapel collar and long sleeves with buttoned cuffs. Button-up front.,Men,OVERSHIRTS
Men:OVERSHIRTS:59,OVERSIZE FIT OVERSHIRT - LIMITED EDITION,Oversize fit overshirt. Spread collar and long sleeves with buttoned cuffs. Pleat details on the back. Button-up front hidden by a placket.,Men,OVERSHIRTS
Men:OVERSHIRTS:60,RELAXED FIT SHIRT - LIMITED EDITION,Relaxed-fit collared shirt featuring long sleeves with buttoned cuffs. Chest patch pockets and a button-up front.,Men,OVERSHIRTS
