id,name,details,gender,category
Men:JACKETS:0,FADED LEATHER EFFECT JACKET,Faded leather effect jacket. Lapel collar and long sleeves with adjustable zip cuffs. Hip welt pockets with zip fastening. Zip-up front.,Men,JACKETS
Men:JACKETS:2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar with snap-button details. Long sleeves with zip cuffs. Front zip pockets on the chest and hip. Inside pocket. Asymmetric metal zip-up front.,Men,JACKETS
Men:JACKETS:4,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High neck and long sleeves. Welt pockets at the hip and interior pocket detail. Ribbed trims. Front zip fastening.,Men,JACKETS
Men:JACKETS:5,FAUX LEATHER JACKET,Collared jacket with long sleeves and elasticated cuffs. Welt pockets on the chest and hip. Ribbed hem. Zip-up front.,Men,JACKETS
Men:JACKETS:7,SATIN JACKET WITH EMBROIDERED SLOGAN,Satin varsity jacket. Jetted hip pockets and inside pocket detail. Contrast embroidery on the back. Ribbed trims. Front zip fastening.,Men,JACKETS
Men:JACKETS:8,BOMBER JACKET WITH PATCH,Varsity jacket made of faux suede fabric. Jetted hip pockets and inside pocket detail. Contrast embroidery and patch appliqués on the front and back. Ribbed trims. Snap-buttons down the front.,Men,JACKETS
Men:JACKETS:10,HOODED BOMBER JACKET,Varsity jacket with a hood in the collar. Long sleeves with elasticated cuffs. Jetted pockets at the hip and inside pocket detail. Contrast patches and embroidery on the front and back. Ribbed trims. Snap-button front.,Men,JACKETS
Men:JACKETS:12,BOMBER JACKET WITH PATCH,Varsity jacket made of lightweight fabric. Jetted hip pockets and inside pocket detail. Contrast patches and embroidery on the front. Ribbed trims. Snap-button front.,Men,JACKETS
Men:JACKETS:14,SEERSUCKER JACKET WITH POCKETS,Relaxed fit jacket featuring a high neck and long sleeves with elastic cuffs. Patch pockets with flaps at the hip. Adjustable hem with elastic details on the front. Front zip fastening.,Men,JACKETS
Men:JACKETS:15,OVERSHIRT WITH POCKETS,Relaxed fit overshirt made of cotton. Lapel collar and long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and a side hip pocket. Zip-up front.,Men,JACKETS
Men:JACKETS:17,TEXTURED JACKET,Jacket with a slightly padded interior. Contrast collar. Long sleeves with buttoned cuffs. Faded effect. Double welt pockets on the chest and hip. Front zip-up fastening.,Men,JACKETS
