id,name,details,gender,category
Men:SHIRTS:0,PHOTO PRINT SHIRT,Relaxed-fit shirt with a collar and long sleeves with buttoned cuffs. Contrast print on the front. Button-up front.,Men,SHIRTS
Men:SHIRTS:2,CONTRAST PRINT SHIRT,Relaxed-fit collared shirt with long sleeves and buttoned cuffs. Button-up front.,Men,SHIRTS
Men:SHIRTS:4,DENIM SHIRT,Collared relaxed fit shirt made of denim. Long sleeves with buttoned cuffs. Chest patch pockets. Faded effect. Button-up front.,Men,SHIRTS
Men:SHIRTS:5,CREASED-EFFECT SHIRT,Relaxed fit shirt made of semi-sheer fabric. Camp collar and short sleeves. Split hem. Button-up front.,Men,SHIRTS
Men:SHIRTS:6,FLORAL PRINT SHIRT,Regular-fit shirt made of satin fabric. Spread collar and short sleeves. Side vents at the hem. Button-up front.,Men,SHIRTS
Men:SHIRTS:7,LEAF PRINT SHIRT,Regular fit shirt in a satiny fabric. Camp collar and short sleeves. Split hem. Button-up front.,Men,SHIRTS
Men:SHIRTS:8,FLORAL PRINT SHIRT,Relaxed-fit shirt. Lapel collar and short sleeves. Button-up front.,Men,SHIRTS
Men:SHIRTS:9,FLORAL PRINT STRETCH SHIRT,Regular fit shirt made of highly stretchy crease-resistant fabric. Camp collar and short sleeves. Split hem. Button-up front.,Men,SHIRTS
Men:SHIRTS:10,BANDANA PRINT SHIRT,Relaxed fit shirt in cotton fabric. Camp collar and short sleeves. Split hem. Button-up front.,Men,SHIRTS
Men:SHIRTS:11,PALM TREE PRINT SHIRT,Relaxed fit shirt. Camp collar and short sleeves. Button-up front.,Men,SHIRTS
Men:SHIRTS:15,ABSTRACT PRINT TEXTURED SHIRT,Relaxed fit short sleeve shirt with a camp collar. Chest patch pocket. Button-up front.,Men,SHIRTS
Men:SHIRTS:16,LEAF PRINT SHIRT,Relaxed fit shirt with a camp collar and short sleeves. Split hem and a button-up front.,Men,SHIRTS
Men:SHIRTS:17,VISCOSE - LINEN SHIRT,"Relaxed fit shirt made of a viscose and cotton blend. Featuring a camp collar, short sleeves, a split hem and a button-up front.",Men,SHIRTS
Men:SHIRTS:18,ABSTRACT PRINT SHIRT,Relaxed fit shirt made of a viscose and linen blend. Camp collar and short sleeves. Chest flap pocket. Button-up front.,Men,SHIRTS
Men:SHIRTS:21,VISCOSE - LINEN SHIRT,Relaxed fit bowling shirt made of a linen and viscose blend. Featuring short sleeves and a button-up front.,Men,SHIRTS
Men:SHIRTS:25,ABSTRACT PRINT SHIRT,Relaxed fit shirt made of a modal blend fabric. Camp collar and short sleeves. Chest patch pocket. Button-up front.,Men,SHIRTS
Men:SHIRTS:26,GEOMETRIC JACQUARD KNIT SHIRT,Relaxed fit knit shirt. Camp collar and short sleeves. Button-up front.,Men,SHIRTS
Men:SHIRTS:28,ABSTRACT PRINT SHIRT,Relaxed fit shirt made of a viscose blend fabric. Camp collar and short sleeves. Chest patch pocket. Button-up front.,Men,SHIRTS
Men:SHIRTS:29,GEOMETRIC PRINT SHIRT,Relaxed fit shirt made of a viscose fabric. Camp collar and short sleeves. Button-up front.,Men,SHIRTS
