id,name,details,gender,category
Women:SHORTS_SKORTS:0,Z1975 CROSSOVER SKORT WITH BUTTONS,High-waist skort with a crossover front. Front pockets and rear patch pockets. Seamless hem. Front fastening with hidden zip and buttons.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:1,Z1975 BAGGY BELTED DENIM BERMUDA SHORTS,"High-waist Bermuda shorts with an elasticated waistband and gathering. Featuring front pockets, rear patch pockets, a belt, turn-up hems and zip fly and top button fastening at the front.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:2,BERMUDA SHORTS WITH CUTWORK EMBROIDERY,High-waist Bermuda shorts with an elasticated waistband. Front pockets and back patch pockets.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:3,TEXTURED SHORTS,Mid-waist shorts featuring an adjustable elastic drawstring waistband. Side pockets and front button detail.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:5,TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS,HIGH-RISE - MOM FITHigh-rise Bermuda shorts with a five-pocket design. Front zip fly and metal top button fastening. Turn-up hems.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:6,PLEATED HIGH-WAIST BERMUDA SHORTS,"High-waist Bermuda shorts with front darts. Front pockets and rear false flap pocket. Front zip fly, interior button and metal hook fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:7,EMBROIDERED SHORTS,High-waist shorts made of a linen blend. Contrast embroidery and invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:8,TRF CURVED HIGH-WAIST SHORTS,HIGH-RISE - CURVEDHigh-rise rigid shorts. Five-pocket design. Ripped details. Front zip and metallic button fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:9,SKORT,High-waist skort. Layered wrap detail in matching fabric. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:10,SHORTS WITH CUTWORK EMBROIDERY,High-waist shorts with side patch pockets. Matching cutwork embroidery details. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:11,SKORT WITH SLIT DETAIL,High-waist skort featuring a front slit and invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:13,ASYMMETRIC SKORT,Not Found,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:14,BOX PLEAT SKORT,High-waist skort with front pleats and false golden buttons. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:15,LINEN BLEND BERMUDA SHORTS WITH AN ELASTIC WAISTBAND,High-waist Bermuda shorts made of a linen blend fabric. Adjustable elasticated waistband with drawstrings. Front pockets.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:16,ASYMMETRIC SKORT,High-waist skort. False welt pockets on the front. Layered wrap detail in matching fabric. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:18,SKORT WITH SLIT DETAIL,High-waist skort. Slit at the front. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:19,SKORTS WITH BELT,High-waist skort. Belt detail in the same fabric with a lined buckle. Hem with front vents. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:20,EMBROIDERED SHORTS,Mid-rise shorts made of cotton. Contrast cutwork embroidery and invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:21,SKORT WITH BOW,High-waist skort with a matching bow. Ruffled hem. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:22,HIGH-WAIST TRF DENIM SHORTS,HIGH WAIST - FRAYEDHigh-waist shorts with five pockets. Faded effect. Ripped details. Frayed hems. Front metal button fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:23,CARGO SKORT WITH BELT,Mid-rise skort. Patch pocket detail on the front. Invisible side zip fastening and belt with metal buckle.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:24,DOUBLE-FABRIC BERMUDA SHORTS WITH BELT,"High-waist Bermuda shorts with front darts and faux leather belt. Front pockets and false welt pockets at the back. Front zip fly, interior button and metal hook fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:25,TRF HIGH-WAIST DENIM PATCHWORK SHORTS,High-waist shorts with five pockets. Ripped details and seamless hems. Front zip fly and metallic button fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:27,LINEN BLEND SKORT,"High-waist skort made of a linen blend. Front pockets and back false welt pockets. Front zip fly, inside button and metal hook fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:28,LINEN BERMUDA SHORTS WITH BELT LOOPS,"Mid-rise Bermuda shorts made of linen. Featuring an elasticated waistband with belt loops, side pockets and front darts.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:29,LINEN BLEND HIGH-WAIST BERMUDA SHORTS,"High-waist Bermuda shorts made in a linen blend fabric. Front darts. Front pockets and false flap pocket at the back. Front zip fly, interior button and metal hook fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:30,RUFFLED SKORT,High-waist mini skirt with a ruffle on the front. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:31,TRF HIGH-WAIST DENIM SHORTS,"Faded high-waist shorts featuring a five-pocket design, belt loops, ripped detailing, frayed hems and front button fastening hidden by a placket.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:32,LINEN BLEND BERMUDA SHORTS,"High-waist Bermuda shorts made of a linen blend fabric. Side pockets and rear welt pockets. Front zip fly, interior button and metal hook fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:33,ANIMAL PRINT SKORT,High-waist skort. Ruffled trim details. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:36,Z1975 DENIM MOM-FIT HIGH-WAIST SHORTS,High-waist shorts with five pockets. Turn-up hems. Zip fly and metal top button front fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:38,LONG PLEATED BERMUDA SHORTS,"Long high-waist Bermuda shorts with belt loops. Side pockets and front pleated detail. Front zip, inside button and metal hook fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:39,WAXED SKORT,Skort made of waxed fabric. Mid-rise and box pleats. False pockets on the front and back. Front zip fly and metal top button fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:40,BOX PLEAT SKORT,Mid-rise mini skirt. Short-style lining. Box pleat detail. Belt in matching fabric with a metal buckle. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:44,MID-RISE TRF DENIM SHORTS,MID-RISE - FRAYEDMid-rise shorts with five pockets. Faded effect. Ripped detail. Frayed hem. Front metal button fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:46,TRF HIGH-WAIST METALLIC SHORTS,"High-waist shorts with five pockets. Metallic-effect fabric, frayed hems and front zip fly and metal top button fastening.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:47,CROSSOVER RUSTIC SKORT,High-waist skort made of 100% cotton. Crossover front with false buttons. Invisible back zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:48,SKORT WITH BUTTONS,High-waist skort with front pleats and false buttons. Invisible side zip fastening.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:49,PAPERBAG BERMUDA SHORTS WITH TURN-UP HEMS,High-waist Bermuda shorts featuring an elasticated waistband at the back and gathering. Front darts. Front pockets and rear patch pockets. Turn-up hems. Button fastenings on the front.,Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:50,SKORT WITH POCKETS,"Mid-waist skort featuring front pockets, side patch pockets and zip fly and snap-button fastening at the front.",Women,SHORTS_SKORTS
Women:SHORTS_SKORTS:52,LINEN BLEND BELTED BERMUDA SHORTS,"Bermuda shorts made of a linen blend. High waist with a belt in matching fabric. Front patch pockets with flaps. Turn-up hems. Front zip fly, interior button and metal hook fastening.",Women,SHORTS_SKORTS
