id,name,details,gender,category
Women:BEAUTY:0,3-IN-1 BAR REFILL,"Creamy texture multifunction makeup bar, available in two finishes: matte and pearl. Made with hyaluronic acid. Featuring an instant moisturising effect. This creamy textured formula is easy to apply to the cheeks, lips, eyes and body. Ophthalmologically tested.",Women,BEAUTY
Women:BEAUTY:2,LIP OIL,This creamy lip oil glides like silk to achieve a uniform and eye-catching finish in a single swipe.This hydrating formula smooths lips while delivering a wash of colour and gleam you won´t even notice you have on.,Women,BEAUTY
Women:BEAUTY:4,ULTIMATTE MATTE LIQUID LIPSTICK,"Slick with it. Our favourite lipstick, now in a liquid version. Its full coverage, light, matte formula is transfer-proof and lasts for up to 16 hours. A lipstick that provides an effortless uniform finish for a gentle second-skin effect.",Women,BEAUTY
Women:BEAUTY:10,FACE BRUSH #3,"Small face brush for the application of powder, cream or liquids in more localised areas. Rounded and precise shape. Ideal for applying highlighter or as a blending brush.",Women,BEAUTY
Women:BEAUTY:11,FACE BRUSH #2,Designed to apply powder and cream products. Perfect for blush and facial powder. The round compact shape allows you to modulate coverage until you reach an intense finish.,Women,BEAUTY
Women:BEAUTY:12,KABUKI BRUSH,"Short and smooth dense-bristle brush, ideal for applying foundation and providing optimum coverage immediately.",Women,BEAUTY
Women:BEAUTY:13,EYELASH CURLER,Allows the eyelashes to be curled and raised in a single movement. Get a more intense finish by applying mascara. Includes two replacement pads.,Women,BEAUTY
Women:BEAUTY:16,EYE BRUSH #2,Compact and flat eye brush specially designed to apply eye shadow evenly.,Women,BEAUTY
Women:BEAUTY:17,EYE BRUSH #1,"Small eye brush designed to blend or apply eye shadow in a precise way, achieving an intense finish and high pigment.",Women,BEAUTY
Women:BEAUTY:18,MAKEUP SPONGE,"Makeup sponge specially designed for liquid and cream formulas. Allows for a simple, precise and adjustable application, achieving a natural finish. INSTRUCTIONS FOR USE:1. Moisten sponge with water2. Drain excess water3. Use the rounded part to apply liquid or cream formulas, blotting onto the skin.4. Use the flat part and tip for a more precise application5. After use, wash sponge with soap and water, drain to remove excess water and air dryView more",Women,BEAUTY
Women:BEAUTY:21,FACE BRUSH #1,"Round makeup brush ideal for uniform application of compact and loose powder. Very easy to use and pleasant, allowing you to achieve a lightweight, yet flexible coverage.",Women,BEAUTY
Women:BEAUTY:23,EYELINER,This eyeliner with an ultra-thin and intensely pigmented tip glides smoothly to offer a uniform finish.The formula has been designed to draw precise lines with a long-lasting finish. Water-resistant and easy to remove.,Women,BEAUTY
Women:BEAUTY:29,TOP COAT NAIL VARNISH,Quick-drying top coat that highlights the colour of the nails and ensures durability.,Women,BEAUTY
Women:BEAUTY:30,NAIL POLISH,"Superior wear, naturally. This high-performance formula contains a large percentage of natural ingredients and lasts as long as traditional nail varnish.Formula made with a high percentage of natural ingredients. Its precision brush allows you to apply the product with total ease. Available in 39 versatile and trendy tones with matte, pearly and glitter finishes.",Women,BEAUTY
Women:BEAUTY:35,Not Found,Not Found,Women,BEAUTY
Women:BEAUTY:36,NAIL SET,"Set of nail art brushes. It is composed of three multifunctional brushes, ideal for easy design and touching up, and a pointer with a spherical head for maximum accuracy.",Women,BEAUTY
Women:BEAUTY:38,CONCEALER,"A creamy, luscious formula that is easy to blend. This buildable medium-coverage product features a satin finish, providing a luminous glow. Available in 18 shades to perfectly complement our foundation.",Women,BEAUTY
Women:BEAUTY:41,BRONZING POWDER,"This velvety powder gives skin an instant boost, subtly warming up its tone while restoring vitality.Soft and delicate powder that conceals imperfections with a luminous finish.",Women,BEAUTY
