id,name,details,gender,category
Women:SHOES:0,PLATFORM WEDGE SANDALS,"Sandals with a platform wedge heel. Wide strap on the front.Heel height of 11 . / 4.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:2,KITTEN HEEL ANKLE BOOTS,Kitten heeled ankle boots. Stretch material. Pointed toe. Heel height of 5 . / 1.9″,Women,SHOES
Women:SHOES:4,LEATHER COWBOY ANKLE BOOTS,Leather cowboy-style ankle boots. Block heel. Side pull tabs. Pointed toe. Heel height of 5 . / 1.9″,Women,SHOES
Women:SHOES:6,FABRIC HIGH-HEEL ANKLE BOOTS,High-heel stretchy fabric ankle boots. Pointed toe.Heel height: 7.5 . / 2.9″,Women,SHOES
Women:SHOES:10,LEATHER HEELED ANKLE BOOTS,Leather ankle boots. Block heel. Pointed toe. Elastic side gores. Back pull tab. Heel height of 7 . / 2.7″,Women,SHOES
Women:SHOES:12,CONTRAST LOAFERS,Flat loafers with contrast vamp and a penny strap. Round toe. Sole height: 3 . / 1.1″,Women,SHOES
Women:SHOES:13,RUNNING TRAINERS,Running trainers. Chunky sole. Back pull tab. Lace-up fastening. Sole height: 5 . / 1.9″,Women,SHOES
Women:SHOES:15,RUNNING TRAINERS,Running trainers. Chunky sole. Lace-up fastening. Sole height: 5 . / 1.9″,Women,SHOES
Women:SHOES:16,TRACK-SOLE MARY JANES WITH BUCKLE,Mary Janes with a patent finish. Chunky track sole. Round toe. Buckle fastening. Sole height: 6.5 . / 2.5″,Women,SHOES
Women:SHOES:17,FLAT TRACK SHOES,Flat track sole shoes. Buckled strap across the instep. Back pull tab. Round toe.Sole height: 4 . / 1.5″,Women,SHOES
Women:SHOES:20,HEELED DENIM ANKLE BOOTS,Block-heel ankle boots in denim fabric with pleated detail on the calf. Pointed toe. Heel height: 4.4 . / 1.7″,Women,SHOES
Women:SHOES:21,SPLIT SUEDE LOAFERS WITH BUCKLE,"Split suede flat loafers. Metallic buckle detail on the front.Sole height: 1 . / 0.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:23,SOFT LEATHER LOAFERS WITH BUCKLE,"Flat soft leather loafers with a metallic buckle on the front. Sole height: 1 . / 0.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:24,TECHNICAL RUNNING TRAINERS,Running trainers. Adjustable elastic drawstring. Pull tab at the back.Sole height: 4.5 . / 1.7″,Women,SHOES
Women:SHOES:27,SATIN SANDALS WITH RHINESTONES,Satin high-heel sandals. Thin straps with rhinestones. Round toe. Heel height of 8 . / 3.1″,Women,SHOES
Women:SHOES:29,HIGH-HEEL SLINGBACK SHOES WITH FLOWER,"Heeled slingback shoes. Flower detail on the front. Pointed toe. Strap at the back.Heel height: 10 / 3.9″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:31,KITTEN HEEL SLINGBACK SHOES,Kitten heel slingback shoes. Buckled strap around the back. Pointed toe. Heel height of 3 . / 1.1″,Women,SHOES
Women:SHOES:32,KITTEN HEEL SLINGBACK SHOES,"Kitten heel slingback shoes. Buckled strap around the back. Pointed toe. Heel height of 3 . / 1.1″ AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:34,EMBELLISHED LEATHER SLINGBACK SHOES,Leather heeled slingback shoes. Embellished detail on the front. Strap around the back. Block heel.Heel height of 6 . / 2.3″,Women,SHOES
Women:SHOES:37,FABRIC HIGH HEEL ANKLE BOOTS,Fabric high-heel ankle boots. Block heel. Zip fastening. Heel height: 7 . / 2.7″,Women,SHOES
Women:SHOES:38,BLOCK-HEEL FABRIC SHOES,Fabric block-heel court shoes. Square vamp. Pointed toe.Heel height: 6.5 . / 2.5″,Women,SHOES
Women:SHOES:40,BALLERINAS WITH BOW,Ballet flats. Bow detail on the front. Round toe.Sole height: 1 . / 0.3″,Women,SHOES
Women:SHOES:44,EMBELLISHED BLOCK HEEL SLINGBACK SHOES,"Block heel slingback court shoes. Embellished with metal on the front. Square toe. Adjustable buckle fastening on the back strap. Heel height of 8 . / 3.1″ AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:45,PLATFORM SNEAKERS,"Trainers featuring a platform sole. Lace-up fastening. Sole height: 5 . / 1.9″ STARFIT®. Flexible technical polyurethane foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:46,FABRIC PLATFORM RUNNING TRAINERS,"Running trainers in a combination of materials with leather details. Platform track sole. Lace-up fastening.Sole height: 3.5 . / 1.3″STARFIT®. Flexible technical polyurethane foam insole, designed to offer greater comfort.",Women,SHOES
Women:SHOES:47,MATCHING PLATFORM RUNNING TRAINERS,Running trainers in a combination of materials with leather details. Platform track sole. Lace-up fastening. Sole height: 3.5 . / 1.3″,Women,SHOES
Women:SHOES:48,EMBELLISHED VINYL HIGH-HEEL SHOES,"High-heel slingback vinyl shoes. Embellished rhinestone detail on the front. Pointed toe. Heel height of 8.5 . / 3.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SHOES
