id,name,details,gender,category
Women:WORKWEARNEW:0,OVERSIZE TRENCH COAT WITH POCKETS,Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.,Women,WORKWEARNEW
Women:WORKWEARNEW:1,KNIT SWEATER WITH ZIP,"Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims.",Women,WORKWEARNEW
Women:WORKWEARNEW:2,ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS,Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with belt loops. Patch pockets on the front and back. Contrast visible topstitching detail. Seamless hems. Front zip fly and button fastening.,Women,WORKWEARNEW
Women:WORKWEARNEW:3,CROSSBODY BAG,Crossbody bag with adjustable strap. Lining. Zip closure.,Women,WORKWEARNEW
Women:WORKWEARNEW:4,ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS,Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with back patch pockets. Seamless hems. Front zip fly and top button fastening.,Women,WORKWEARNEW
Women:WORKWEARNEW:5,STRIPED COTTON T-SHIRT,LOOSE FIT - BOAT NECK - NORMAL LENGTH - LONG SLEEVEST-shirt made of a cotton blend. Boat neck and long sleeves.,Women,WORKWEARNEW
Women:WORKWEARNEW:6,CASHMERE KNIT SWEATER,Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.,Women,WORKWEARNEW
Women:WORKWEARNEW:7,WOOL BLEND BOXY-FIT KNIT SWEATER,Knit sweater made of a wool blend. Round neck and long sleeves. Matching ribbed trims.,Women,WORKWEARNEW
Women:WORKWEARNEW:8,CROPPED KNIT SWEATER,Cropped sweater with a round neck and long sleeves. Matching ribbed trims.,Women,WORKWEARNEW
Women:WORKWEARNEW:10,OPEN KNIT POLO SWEATER,Polo sweater with a Johnny collar and long sleeves. Ribbed trims.,Women,WORKWEARNEW
Women:WORKWEARNEW:12,BASIC KNIT SWEATER,"Round neck sweater featuring long sleeves, side vents at the hem and ribbed trims.",Women,WORKWEARNEW
Women:WORKWEARNEW:13,WATER AND WIND PROTECTION RUBBERISED RAINCOAT,Raincoat featuring a high collar with hood and drawstrings. Long sleeves with adjustable snap-button cuffs. Front flap pockets. Side vents at the hem. Zip-up front with hidden snap buttons.,Women,WORKWEARNEW
Women:WORKWEARNEW:14,BASIC STRIPED JACKET,Round neck jacket featuring long sleeves with an opening on the cuffs. Front fastening with faux pearl buttons.,Women,WORKWEARNEW
Women:WORKWEARNEW:15,BELTED CHINO TROUSERS,High-waist trousers with front darts. Front pockets and buttoned false welt pockets at the back. Front zip fly and button fastening. Embossed belt detail.,Women,WORKWEARNEW
Women:WORKWEARNEW:16,TOTE WITH INTERIOR BAG,Tote bag. Shoulder straps. Inner bag with gathered drawstring fastening.,Women,WORKWEARNEW
Women:WORKWEARNEW:17,BALLET FLATS WITH BUCKLES,"Ballet flats. Buckled straps across the instep. Round toe.Sole height: 1 . / 0.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,WORKWEARNEW
Women:WORKWEARNEW:19,CARROT FIT TROUSERS WITH DARTS DETAIL,Mid-waist trousers made of a viscose blend. Belt loops. Side pockets and rear welt pockets. Dart details on the front. Pleated hem with contrast button. Front zip fly and button fastening.,Women,WORKWEARNEW
Women:WORKWEARNEW:23,STRIPED OVERSIZE SHIRT,Loose-fitting shirt featuring a Johnny collar and long sleeves with cuffs. Chest patch pocket. Pleated detail on the back. Button-up front.,Women,WORKWEARNEW
Women:WORKWEARNEW:24,100% WOOL KNIT CARDIGAN,Cardigan made of 100% wool. Round neck and long sleeves. Button-up front. Ribbed trims.,Women,WORKWEARNEW
Women:WORKWEARNEW:25,100% WOOL KNIT SWEATER,"Sweater made of 100% wool. Featuring a round neckline, long sleeves and ribbed trims.",Women,WORKWEARNEW
Women:WORKWEARNEW:26,LEATHER BELT,Leather belt. Fastening with metal buckle and belt loop.,Women,WORKWEARNEW
Women:WORKWEARNEW:29,BASIC KNIT SWEATER,Round neck sweater with long sleeves and decorative gold buttons. Ribbed trims.,Women,WORKWEARNEW
Women:WORKWEARNEW:30,ZW STRAIGHT-LEG MID-RISE CROPPED JEANS,Slim Fit - Straight Leg - Mid-riseZW ZARA WOMAN JEANSMid-rise faded jeans with belt loops. Five-pocket design. Front zip fly and metal top button fastening.,Women,WORKWEARNEW
Women:WORKWEARNEW:32,LINEN COAT WITH VENTS - LIMITED EDITION,Long coat made of 100% linen. Lapel collar and long sleeves. Side in-seam pockets. Front vents at the hem. Front fastening with ties in the same fabric.,Women,WORKWEARNEW
Women:WORKWEARNEW:33,OPEN BACK HALTER WAISTCOAT,Halter waistcoat featuring a V-neck and made of a wool blend. False welt pockets on the front. Open back and adjustable strap in the same fabric with buckle. Asymmetric hem. Button-up front.,Women,WORKWEARNEW
Women:WORKWEARNEW:35,LONG SATIN SKIRT - LIMITED EDITION,High-waist long skirt made of 100% viscose fabric. Asymmetric hem with tail. Invisible side zip fastening.,Women,WORKWEARNEW
