id,name,details,gender,category
Men:ZARA ORIGINS:0,100% LINEN SUIT BLAZER,Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and flap pockets on the hip. Inside pocket. Central back vent at the hem and a button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:1,JACKET WITH POCKETS,Faded regular-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets with flaps at the hip. Button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:2,100% LINEN PLEATED TROUSERS,Regular fit trousers made of a linen fabric. waistband with front pleated details. Front pockets and rear jetted pockets. Front zip fly and button fastening.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:3,KNIT COTTON POLO SHIRT,Round collar knit polo shirt in spun cotton fabric. Button fastening on the front and short sleeves. Ribbed trims.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:5,OXFORD SHIRT,Regular-fit shirt made of a textured cotton fabric. Buttoned spread collar and long sleeves with buttoned cuffs. Button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:6,SHORT SLEEVE HEAVY WEIGHT T-SHIRT,Regular-fit T-shirt in compact cotton fabric. Round neck and short sleeves.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:7,COTTON POPLIN SHIRT,Regular-fit shirt made of a lightweight cotton poplin fabric. Spread collar and long sleeves with buttoned cuffs. Button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:8,REGULAR FIT JEANS,Regular fit jeans made of cotton denim. Five pockets. Faded effect. Button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:9,CHAMBRAY SHIRT,Regular-fit spread collar shirt made of cotton. Long sleeves with buttoned cuffs. Chest patch pocket. Faded effect. Button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:10,STRIPED SHIRT,Regular fit shirt made of a cotton fabric. Spread collar and long sleeves with buttoned cuffs. Button-up front.Origins special collection.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:13,100% LINEN SUIT TROUSERS,Straight fit trousers made of linen. Front pockets and buttoned jetted pockets on the back. Front zip fly and top button fastening.,Men,ZARA ORIGINS
Men:ZARA ORIGINS:18,RECTANGULAR SUNGLASSES,Sunglasses with an acetate frame. Polarised lenses. Case included.UV/UVA 400 protection. Category 3.Origins special collection.,Men,ZARA ORIGINS
