id,name,details,gender,category
Women:JEANS:0,ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS,Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with belt loops. Patch pockets on the front and back. Contrast visible topstitching detail. Seamless hems. Front zip fly and button fastening.,Women,JEANS
Women:JEANS:2,ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS,Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with back patch pockets. Seamless hems. Front zip fly and top button fastening.,Women,JEANS
Women:JEANS:3,TRF WIDE-LEG MID-RISE METALLIC JEANS,MID-RISE - WIDE-LEGMid-rise jeans with five pockets. Metallic-effect fabric. Front zip fly and metal button fastening.,Women,JEANS
Women:JEANS:4,TRF HIGH-WAIST METALLIC JEANS,HIGH WAIST - LOOSE FITHigh-waist jeans with five pockets. Metallic-effect fabric. Front zip fly and metallic button fastening.,Women,JEANS
Women:JEANS:7,MID-RISE FLARED CROPPED TRF JEANS,CROPPED - MID-RISEMid-rise jeans with five pockets. Seamless cropped flared hems. Front zip fly and metal button fastening.,Women,JEANS
Women:JEANS:9,Z1975 FLARED HIGH-WAIST JEANS,HIGH-RISE - FLAREFaded high-rise jeans with a five-pocket design. Flared hems. Front zip fly and metal top button fastening.,Women,JEANS
Women:JEANS:10,Z1975 WIDE LEG HIGH-RISE JEANS,HIGH WAIST - WIDE LEGHigh-waist jeans featuring false welt pockets on the front and rear patch pockets. Wide-leg design. Front zip fly and top button fastening.,Women,JEANS
Women:JEANS:12,Z1975 STRAIGHT-FIT HIGH-WAIST FULL LENGTH JEANS,High-waist jeans with five pockets. Faded effect. Straight and extra-long leg. Front zip fly and metallic button fastening.,Women,JEANS
Women:JEANS:14,Z1975 HIGH-WAIST MINI FLARE JEANS,HIGH-WAIST - MINI FLAREFaded high-waist jeans with five pockets. Flared seamless hems. Front zip fly and button fastening.,Women,JEANS
Women:JEANS:17,Z1975 HIGH-RISE STRAIGHT JEANS,HIGH-WAIST - STRAIGHT - RIGIDHigh-waist jeans with a five-pocket design. Faded effect. Ironed crease detail on the front. Straight leg. Front zip fly and top button fastening.,Women,JEANS
Women:JEANS:18,Z1975 FLARED HIGH-WAIST JEANS,HIGH-WAIST - FLAREFaded high-waist jeans with a five-pocket design. Ironed crease detail on the front. Flared hems. Front zip fly and metal top button fastening.,Women,JEANS
Women:JEANS:22,HIGH-RISE SKINNY SCULPT TRF JEANS,HIGH WAIST - SKINNY - ANKLE LENGTHHigh-waist super stretch jeans with a five-pocket design. Front zip fly and metal top button fastening.,Women,JEANS
Women:JEANS:25,Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS,HIGH-WAIST - REGULAR REG - LONG LENGTH - RIGID High-waist jeans with five pockets. Faded effect. Straight-leg and long-leg design. Front zip fly and button fastening.,Women,JEANS
Women:JEANS:26,MID-RISE TRF CARGO JEANS,CARGO - MID-RISEMid-rise jeans with front pockets and patch pockets on the back and leg. Belt loops. Front zip fly and top metal button fastening.,Women,JEANS
Women:JEANS:27,Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS,"HIGH-RISE - BAGGY PAPERBAG - CARROT LEG - ANKLE - RIGIDHigh-waist jeans with an elasticated waistband and gathered details. Featuring front pockets, rear patch pockets, turn-up hems and a zip and button fastening at the front.",Women,JEANS
