id,name,details,gender,category
Women:LOUNGEWEARNEW:0,PLUSH VEST,Vest made of a cotton blend. V-neck and drop sleeves. Matching ribbed trims.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:2,COTTON T-SHIRT WITH SEAM DETAILS,ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of 100% cotton. Round neck and short sleeves. Seamless trims.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:6,FADED-EFFECT PLUSH TROUSERS,Faded cotton trousers featuring an elasticated drawstring waistband and seamless hems.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:8,FADED-EFFECT PLUSH SWEATSHIRT,"Faded cotton sweatshirt featuring a round neck, long drop-shoulder sleeves and seamless hem.",Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:12,FADED-EFFECT RIBBED TROUSERS,Faded high-waist trousers made of a cotton blend. Featuring an elasticated waistband and side vents at the hems.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:13,FADED-EFFECT T-SHIRT,Faded cotton T-shirt with a distressed round neck and short sleeves.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:14,FADED-EFFECT RIBBED SWEATSHIRT,Round neck sweatshirt made of a faded-effect cotton blend. Long sleeves with ruffled cuffs.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:15,RIPPED FADED-EFFECT SWEATSHIRT,"Faded cotton blend sweatshirt featuring a round neck, long drop-shoulder sleeves and ripped details.",Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:16,FADED-EFFECT RIPPED PLUSH TROUSERS,Faded-effect high-waist trousers made of a cotton blend. Featuring an elasticated waistband and ripped details.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:18,FADED-EFFECT RIB T-SHIRT,Long sleeveless round neck top made of a faded effect cotton blend.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:22,CROP TOP,Round neck top with short sleeves.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:23,HEAVY COTTON COCOON T-SHIRT,ROUND NECK - NORMAL LENGTH - SHORT SLEEVES Round neck T-shirt made of 100% cotton with short sleeves.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:29,CREPE SHORT SLEEVE T-SHIRT,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of 100% cotton crepe fabric. Round neckline and short sleeves.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:35,FADED BELTED T-SHIRT,LOOSE FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVES Round neck T-shirt with short sleeves. Faded effect. Tied belt in the same fabric.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:36,WASHED EFFECT TROUSERS,Faded low-rise trousers with an elasticated waistband. Side pockets. Wide-leg design.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:43,FADED-EFFECT MIDI SKIRT,Skirt made of faded cotton. Elasticated drawstring waistband. Back slit at the hem.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:44,FADED-EFFECT CROP TOP,Faded cotton top with a round neck and short sleeves.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:49,HEAVY COTTON BERMUDA SHORTS,Mid-rise Bermuda shorts made of a cotton blend. Featuring an elasticated drawstring waistband and side pockets.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:55,CARROT JOGGING TROUSERS,High-waist trousers featuring an adjustable elastic waistband with drawstrings. Side pockets.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:63,KNIT CAPE T-SHIRT,T-shirt with a round neck and cape sleeves. Asymmetric hem.,Women,LOUNGEWEARNEW
Women:LOUNGEWEARNEW:64,KNIT SHORTS,Mid-rise shorts featuring an adjustable elasticated waistband with drawstrings.,Women,LOUNGEWEARNEW
