id,name,details,gender,category
Men:SHOES:0,DENIM SNEAKERS,"Sneakers with a combination of materials, pieces and colours on the upper. Seven-eyelet facing. Contrast chunky sole.",Men,SHOES
Men:SHOES:3,CHUNKY TRAINERS,"Monochrome trainers. Seven-eyelet facing. The laces are semi-hidden under two pieces, one on each side of the instep. Chunky sole with an irregular design.",Men,SHOES
Men:SHOES:4,CHUNKY TRAINERS,Sneakers. Plain upper. Seven-eyelet facing. Chunky sole with irregular design at the back.,Men,SHOES
Men:SHOES:6,MULTIPIECE TRAINERS,"Trainers. Combination of materials, pieces and colours on the upper. Six-eyelet facing. Irregular and chunky sole.",Men,SHOES
Men:SHOES:7,LEATHER MONK SHOES,Leather monk shoes. Two metal buckles. Leather insole. Semi-pointed toe. Classic design. Matching sole.,Men,SHOES
Men:SHOES:11,SMART LEATHER SHOES,Oxford shoes. Plain upper with topstitching detail on the vamp and toecap. Five-eyelet facing. Classic style. Round toe.,Men,SHOES
Men:SHOES:13,LEATHER SQUARE TOE ANKLE BOOTS,Leather Chelsea boots. Elastic side gores for slipping on with ease. Square toe. Back pull tab for slipping on with ease. Thin sole.,Men,SHOES
Men:SHOES:15,CHELSEA BOOTS,Monochrome Chelsea boots. Two elastic side gores and pull tab at the back for slipping on with ease. Rounded toe. Welt with matching topstitching. Slightly chunky sole.,Men,SHOES
Men:SHOES:16,CHELSEA BOOTS WITH POINTED TOES,Monochrome Chelsea boots. Two elastic side gores and pull tab at the back for slipping on with ease. Pointed toe. Welt with matching topstitching. Slightly chunky sole.,Men,SHOES
Men:SHOES:17,CHELSEA BOOTS,Monochrome ankle boots. Matching side gores and back pull tab for slipping on with ease. Pointed toe. Classic style.,Men,SHOES
Men:SHOES:18,CHELSEA BOOTS,Chelsea boots. Matching elastic side gores on both sides. Round toe. Back pull tab for slipping on with ease. Thin sole.,Men,SHOES
Men:SHOES:19,LACE-UP ANKLE BOOTS,"Lace-up boots. Seven-eyelet facing, the last two with a metal piece. Contrast-coloured rubberised detail around the upper. Back pull tab for slipping on with ease. Round toe. Slightly chunky track sole.",Men,SHOES
Men:SHOES:20,CHUNKY TRACK SOLE SHOES,Derby shoes. Four-eyelet facing. Round toe. Chunky track sole with an irregular design.,Men,SHOES
Men:SHOES:21,TRACK SOLE PENNY LOAFERS,Plain loafers. Decorative penny strap on the instep. Black chunky track sole with welt.,Men,SHOES
Men:SHOES:22,ROPE TRAINERS,Trainers. Six-eyelet facing. Rope-style laces. Contrast piece on the heel. Irregular chunky sole.,Men,SHOES
Men:SHOES:29,MINIMALIST RETRO TRAINERS,Trainers. Monochrome upper with a combination of pieces. Seven-eyelet facing. Uneven chunky sole. Retro-inspired design.,Men,SHOES
Men:SHOES:32,SNEAKERS WITH PIECES,Monochrome sneakers. Contrast rubberised pieces on the upper. Seven-eyelet facing. Chunky sole.,Men,SHOES
