id,name,details,gender,category
Men:LINEN:0,100% LINEN SHIRT,Regular-fit shirt made of lightweight linen fabric. Spread collar and long sleeves with buttoned cuffs. Button-up front.,Men,LINEN
Men:LINEN:5,VISCOSE/LINEN BLEND SHIRT,"Relaxed fit shirt in a linen and viscose blend. Featuring a lapel collar, long sleeves with buttoned cuffs and a button-up front.",Men,LINEN
Men:LINEN:7,FLORAL PRINT SHIRT,"Relaxed fit shirt with a camp collar, short sleeves and a button-up front.",Men,LINEN
Men:LINEN:9,VISCOSE - LINEN SHIRT,"Relaxed fit shirt made of a viscose and cotton blend. Featuring a camp collar, short sleeves, a split hem and a button-up front.",Men,LINEN
Men:LINEN:10,PLEATED TROUSERS,Straight fit trousers. Waist with front pleated details. Front pockets and rear pocket details. Turn-up hems. Front zip fly and button fastening.,Men,LINEN
Men:LINEN:12,BERMUDA SHORTS WITH CONTRAST EMBROIDERY,Bermuda shorts featuring an adjustable elasticated waistband with drawstring. Front pockets and rear patch pocket detail. Hems with contrast embroidery.,Men,LINEN
Men:LINEN:13,100% LINEN TROUSERS,Trousers made of linen fabric. Elasticated waistband. Front pockets and back welt pockets. Zip fly and top button fastening.,Men,LINEN
Men:LINEN:20,COTTON - LINEN SHIRT,Relaxed fit shirt made of a linen blend. Stand-up collar and long sleeves with buttoned cuffs. Button-up front.,Men,LINEN
Men:LINEN:27,LINEN - COTTON POLO SHIRT,Relaxed fit collared shirt made of a linen blend. Front button fastening. Long sleeves with buttoned cuffs. Side vents at the hem.,Men,LINEN
Men:LINEN:28,COTTON - LINEN SHIRT,Relaxed-fit shirt made of a linen blend. Button-down collar. Long sleeves with buttoned cuffs. Chest patch pocket. Button-up front.,Men,LINEN
Men:LINEN:39,LINEN - COTTON BERMUDA SHORTS,Carrot fit Bermuda shorts made of a linen and cotton blend fabric. Adjustable elasticated waistband and front pleat details. Side pockets and rear welt pocket detail.,Men,LINEN
Men:LINEN:45,100% LINEN BERMUDA SHORTS,Bermuda shorts made of linen fabric. Front pockets and back welt pockets. Front zip fly and top button fastening.,Men,LINEN
Men:LINEN:52,COTTON - LINEN T-SHIRT,Loose-fitting T-shirt made of a linen and cotton blend fabric. Round neckline and short sleeves.,Men,LINEN
Men:LINEN:57,COTTON - LINEN TROUSERS,Regular fit trousers made of a cotton and linen blend fabric. Adjustable inner elasticated waistband. Front and back pockets.,Men,LINEN
Men:LINEN:63,COTTON - LINEN SHIRT,Relaxed fit collared shirt made of a linen and cotton blend fabric. Short sleeves. Chest patch pocket. Button-up front.,Men,LINEN
Men:LINEN:68,VISCOSE/LINEN BLEND SHIRT,Relaxed-fit shirt made of a linen and viscose blend. Camp collar and short sleeves. Back patch pocket. Side vents at the hem. Button-up front.,Men,LINEN
Men:LINEN:69,VISCOSE - LINEN BERMUDA SHORTS,Bermuda shorts in a viscose and linen blend fabric. Elasticated adjustable waistband with drawstrings. Front pockets and rear patch pocket.,Men,LINEN
Men:LINEN:75,TEXTURED OXFORD BERMUDA SHORTS,Bermuda shorts made of a linen and cotton blend. Featuring front pockets and rear welt pockets. Zip fly and top button fastening.,Men,LINEN
Men:LINEN:81,SHIRT WITH CONTRASTING TOPSTITCHING,Short sleeve relaxed fit shirt with a spread collar. Chest patch pocket. Contrast topstitching all over the garment. Button-up front.,Men,LINEN
Men:LINEN:86,COTTON - LINEN TEXTURED SHIRT,Relaxed fit collared shirt made of a cotton and linen blend fabric. Long sleeves with buttoned cuffs. Chest patch pocket. Button-up front.,Men,LINEN
Men:LINEN:92,100% LINEN SHIRT,Relaxed fit collared shirt made of linen fabric. Long sleeves with buttoned cuffs. Patch pocket on the chest. Button-up front.,Men,LINEN
Men:LINEN:93,VISCOSE - LINEN TROUSERS,Trousers in a viscose and linen blend fabric. Elasticated adjustable waistband with drawstrings. Front pockets and rear patch pocket detail.,Men,LINEN
Men:LINEN:99,LINEN - COTTON BLEND SHIRT,Relaxed-fit sleeveless shirt made of a cotton and linen blend. Spread collar. Patch pockets on the chest. Irregular hem. Front snap-button fastening.,Men,LINEN
Men:LINEN:101,COTTON-LINEN BERMUDA SHORTS,Relaxed fit Bermuda shorts made of a linen and cotton blend fabric. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail. Irregular hem.,Men,LINEN
Men:LINEN:102,LINEN - COTTON BLEND SHIRT,Relaxed fit shirt made of a cotton and linen blend. Spread collar and short sleeves. Patch pocket detail on the chest. Irregular trims. Button-up front.,Men,LINEN
Men:LINEN:104,COTTON - LINEN TROUSERS,Regular-fit trousers made of cotton and linen blend fabric. Elasticated waistband with adjustable drawstring. Front pockets and back patch pockets. Front zip fly and snap button.,Men,LINEN
Men:LINEN:105,GEOMETRIC PRINT SHIRT,Shirt made of a viscose and cotton blend fabric. Camp collar and short sleeves. Button-up front.,Men,LINEN
Men:LINEN:108,100% LINEN WAISTCOAT,Linen waistcoat. V-neckline and no sleeves. Welt pockets at the waist. Button-up front.,Men,LINEN
Men:LINEN:110,LINEN - VISCOSE TROUSERS,Regular-fit trousers made of a viscose and linen blend fabric. Adjustable elasticated waistband. Front pockets and back pockets. Faded effect.,Men,LINEN
Men:LINEN:115,LINEN/COTTON TROUSERS,Slim-fit trousers with an elasticated waistband with matching adjustable drawstrings. Front and back welt pockets. Zip fly and top button fastening.,Men,LINEN
Men:LINEN:119,STRIPED COTTON - LINEN SHIRT,Regular-fit shirt made of a cotton and linen blend. Spread collar and short sleeves. Button-up front.,Men,LINEN
Men:LINEN:124,BELTED COTTON-LINEN TROUSERS,Regular fit trousers made of a cotton and linen blend. Waist with front pleats and a belt in the same fabric. Front pockets and rear welt pockets. Front zip and button fastening.,Men,LINEN
Men:LINEN:126,STRIPED LYOCELL-LINEN SHIRT,Relaxed fit collared shirt made of a linen and lyocell blend. Front button fastening. Long sleeves with adjustable buttoned cuffs. Adjustable hem with a front drawstring.,Men,LINEN
Men:LINEN:127,LINEN - LYOCELL TROUSERS,Regular fit trousers made of a linen and lyocell blend. Front patch pockets and buttoned welt pockets at the back. Front zip and button fastening.,Men,LINEN
Men:LINEN:128,100% LINEN SHIRT,Regular fit spread collar shirt featuring long sleeves with buttoned cuffs. Button-up front.,Men,LINEN
Men:LINEN:132,100% LINEN SUIT BLAZER,Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and flap pockets on the hip. Inside pocket. Central back vent at the hem and a button-up front.Origins special collection.,Men,LINEN
Men:LINEN:133,100% LINEN SUIT TROUSERS,Straight fit trousers made of linen. Front pockets and buttoned jetted pockets on the back. Front zip fly and top button fastening.,Men,LINEN
Men:LINEN:137,FLORAL PRINT SUIT BLAZER - LIMITED EDITION,Relaxed fit blazer made of a linen and cotton blend. Notched lapel collar and long sleeves with turn-up cuffs. Chest welt pocket and flap pockets on the hip. Inner pocket detail. Contrast lining. Back vent at the centre of the hem and a button-up front.,Men,LINEN
Men:LINEN:138,100% LINEN SUIT BLAZER,Straight fit blazer made of linen. Notched lapel collar. Long sleeves with buttoned cuffs. Chest welt pocket and hip flap pocket detail. Inner pocket detail. Back vents at the hem and a button-up front.,Men,LINEN
Men:LINEN:139,100% LINEN SUIT TROUSERS,Regular fit trousers. Waist with front pleats. Front pockets and rear welt pockets. Front zip fly and button fastening.,Men,LINEN
Men:LINEN:141,100% LINEN SUIT TROUSERS,Regular-fit trousers. Front pockets and back welt pockets. Front zip fly and top button fastening.,Men,LINEN
Men:LINEN:142,STRIPED LINEN-VISCOSE TROUSERS,"Relaxed-fit trousers with an adjustable elasticated waistband, a matching fabric belt and a back patch pocket.",Men,LINEN
Men:LINEN:144,TEXTURED KNIT POLO SHIRT,Loose-fitting knit polo shirt made of spun linen and cotton blend fabric. Featuring a collar and front button fastening. Long sleeves. Ribbed trims.,Men,LINEN
Men:LINEN:145,100% LINEN PAREO,Lightweight pareo made of linen. Featuring a contrast stripe and frayed trims.Measurements: 100 x 200 . / 39.3 x 78.7″,Men,LINEN
Men:LINEN:148,100% LINEN BERMUDA SHORTS,Bermuda shorts made of linen fabric. Adjustable elasticated waistband with interior drawstring. Front pockets and rear welt pockets.,Men,LINEN
Men:LINEN:149,100% LINEN TROUSERS,Straight fit trousers made of linen. Waist with front pleat details. Front pockets and rear jetted pockets. Front zip fly and button fastening.,Men,LINEN
