id,name,details,gender,category
Women:TROUSERS:0,WIDE WAISTBAND LEGGINGS,High-waist leggings with a wide elastic waistband.,Women,TROUSERS
Women:TROUSERS:1,PLEATED SATIN-FINISH TROUSERS,Trousers made of pleated satin fabric. Elastic drawstring waistband. Wide-leg design.,Women,TROUSERS
Women:TROUSERS:2,PRINTED FOIL TROUSERS,High-waist trousers with an elasticated waistband and adjustable drawstrings. Metallic print detail.,Women,TROUSERS
Women:TROUSERS:3,FOIL TROUSERS,High-waist trousers made of metallic satin fabric. Featuring an elastic waistband and in-seam side pockets.,Women,TROUSERS
Women:TROUSERS:5,BODY SHAPING LEGGINGS,High-waist leggings with a fitted elasticated waistband. Invisible side zip fastening.,Women,TROUSERS
Women:TROUSERS:7,HIGH-WAIST DENIM LEGGINGS WITH BUTTONS,High-waist denim leggings with an elastic waistband. Snap-button and zip fastening at the front.,Women,TROUSERS
Women:TROUSERS:8,HIGH-WAIST LEGGINGS WITH BUTTONS,High-waist leggings featuring an elasticated waistband and raised golden buttons on the front.,Women,TROUSERS
Women:TROUSERS:9,HIGH-WAIST TROUSERS,"High-waist trousers with seam detail on the front and back. Front welt pockets. Front zip fly, inside button and metal hook fastening.",Women,TROUSERS
Women:TROUSERS:10,HIGH WAISTED CARROT TROUSERS,"High-waist trousers with side pockets, back patch pockets and leg pockets. Belt loops with metal buckle on the front. Front zip and inside button fastening.",Women,TROUSERS
Women:TROUSERS:11,KNIT STRIPED CULOTTES,High-waist trousers with an elastic waistband and wide-leg design.,Women,TROUSERS
Women:TROUSERS:12,BARREL TROUSERS WITH CUFFED HEMS,High-waist trousers featuring front pockets and false welt pocket at the back. Front and hem dart details. Front zip fly and button fastening.,Women,TROUSERS
Women:TROUSERS:13,SATIN CARGO TROUSERS,Mid-rise satin trousers made of viscose. Belt loops. Side pockets and multiple patch pockets with flaps. Straight leg. Front zip and button fastening.,Women,TROUSERS
Women:TROUSERS:15,PRINTED WRAP TROUSERS,High-waist trousers with a front knot and a straight-leg design.,Women,TROUSERS
Women:TROUSERS:16,LONG FLOWING TROUSERS,Loose-fitting high-waist trousers with a straight-leg design. Invisible side zip fastening.,Women,TROUSERS
