id,name,details,gender,category
Women:SKIRTS:0,Z1975 DENIM MIDI SKIRT,"Faded high-waist skirt featuring a five-pocket design, front vent at the hem and front button fastening.",Women,SKIRTS
Women:SKIRTS:1,FAUX LEATHER MINI SKIRT WITH CHAIN,High-waist mini skirt. Lining. Metal chain links on the front. Invisible zip fastening.,Women,SKIRTS
Women:SKIRTS:2,SKORT WITH POCKETS,Mid-waist skort with an adjustable elasticated waistband with drawstrings and stoppers. Side patch pockets.,Women,SKIRTS
Women:SKIRTS:4,LONG SATIN SKIRT,Long skirt with a high and elastic waist.,Women,SKIRTS
Women:SKIRTS:5,KNOTTED MIDI SKIRT,High-waist flowing midi skirt. Knotted detail on the front. Side slit at the hem. Invisible zip fastening.,Women,SKIRTS
Women:SKIRTS:6,LINEN BLEND CROSSOVER SKIRT,"Midi skirt made of a linen blend. Featuring an asymmetric waist with belt loops, front welt pocket and front button fastening.",Women,SKIRTS
Women:SKIRTS:8,KNIT MIDI SKIRT WITH METALLIC THREAD,High-waist skirt with an elastic waistband. Front slit at the hem. Metallic thread detail.,Women,SKIRTS
Women:SKIRTS:9,ZW LONG DENIM SKIRT,ZW ZARA WOMANHigh-waist long skirt with belt loops. Front pockets. Faded effect. Visible contrast topstitching detail. Seamless hem with opening at the back. Invisible zip fastening.,Women,SKIRTS
Women:SKIRTS:10,HIGH-WAIST DENIM SKIRT WITH SLIT,ZW ZARA WOMANFaded high-waist long skirt with belt loops and a five-pocket design. Frayed split hems. Front zip fly and top button fastening.,Women,SKIRTS
Women:SKIRTS:11,LONG PRINTED SKIRT,High-waist skirt featuring an elasticated waistband and a matching thin belt with tassels.,Women,SKIRTS
Women:SKIRTS:12,LONG SKIRT WITH SIDE SLIT,Long high-waist skirt. Creased fabric detail. Flared hem with front slit.,Women,SKIRTS
Women:SKIRTS:13,RUSTIC TEXTURED SKIRT,Mid-rise midi skirt made of a cotton and linen blend. Adjustable drawstring waist. Frayed trims. Flared hem.,Women,SKIRTS
Women:SKIRTS:14,SATIN PLEATED SKIRT,High-waist midi skirt with invisible side zip fastening.,Women,SKIRTS
Women:SKIRTS:15,FAUX LEATHER SKIRT WITH POCKETS,Mid-waist mini skirt with belt loops. Patch pockets on the front. Front zip fly and metal hook fastening.,Women,SKIRTS
Women:SKIRTS:16,KNIT CUT-OUT SKIRT,"High-waist midi skirt featuring an elasticated waistband with side cut-out detail, rhinestone appliqué and a side slit at the hem.",Women,SKIRTS
Women:SKIRTS:17,POINTELLE KNIT MINI SKIRT,High-waist skirt featuring an adjustable elasticated waistband with drawstrings. Ruffled hem.,Women,SKIRTS
