id,name,details,gender,category
Women:ACCESSORIES_JEWELLERY:0,CHAIN LINK COIN NECKLACE,Necklace featuring metal links in different sizes with raised coin pendants. Lobster clasp fastening.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:2,LEATHER BELT WITH SQUARE BUCKLE,Leather belt with a square buckle and loops lined in the same material.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:5,DENIM SASH BELT,Sash belt in denim fabric. Asymmetric waistband. Front pockets. Metal button fastening on the front.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:7,FLORAL NECK BOW,Long bow with floral detail made of the same fabric.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:8,DENIM SASH BELT WITH POCKETS,Sash belt in denim fabric with patch pockets.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:10,TWILL SASH BELT WITH POCKETS,Twill sash belt with patch pockets.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:12,DENIM TOP WITH RHINESTONES,"Top made of denim. Featuring a straight neckline, thin straps, rhinestone appliqués and metal hook fastening at the back.",Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:13,MAXI PEARL BEAD NECKLACE,Double necklace with faux pearl appliqués. Lobster clasp fastening.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:14,PACK OF FAUX PEARL NECKLACES,Pack of necklaces:-Long necklaces with faux pearl appliqués.-Necklace with faux pearl appliqués. Lobster clasp fastening.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:18,LEATHER CORD NECKLACE WITH PLATE,Metal plate necklace with leather cord.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:19,INTERWOVEN CHAIN NECKLACE,Metal necklace with interwoven chain. Lobster clasp fastening.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:22,MAXI BUTTON EARRINGS,Metal round earrings. Push-back clasps.,Women,ACCESSORIES_JEWELLERY
Women:ACCESSORIES_JEWELLERY:23,KAFTAN WITH WOODEN BEADS,V-neck kaftan with short sleeves. Drawstrings with wooden beads.,Women,ACCESSORIES_JEWELLERY
